Concurso,Dia,Mes,Ano,Bola1,Bola2,Bola3,Bola4,Bola5,Bola6,Bola7,Bola8,Bola9,Bola10,Bola11,Bola12,Bola13,Bola14,Bola15,Bola16,Bola17,Bola18,Bola19,Bola20
1967,7,5,19,3,6,12,15,25,26,27,28,47,50,56,69,71,85,87,89,90,93,95,97
1968,10,5,19,2,4,8,12,13,17,21,22,31,53,54,56,68,69,82,86,93,94,97,98
1969,14,5,19,1,8,10,16,17,20,22,35,38,48,56,59,62,64,67,80,81,84,94,98
1970,17,5,19,6,8,9,25,28,30,37,48,51,57,59,62,63,72,73,81,83,84,90,98
1971,21,5,19,1,4,5,7,15,21,23,25,26,27,28,34,44,45,67,69,78,87,92,99
1972,24,5,19,0,2,7,12,25,26,31,37,40,41,48,54,61,75,78,80,83,85,95,96
1973,28,5,19,0,9,10,18,19,21,29,37,41,43,49,56,58,59,61,65,73,90,91,94
1974,31,5,19,6,11,18,19,31,34,35,52,53,57,69,72,76,77,82,90,92,93,96,97
1975,4,6,19,0,3,6,7,22,23,25,26,31,32,40,41,42,45,52,53,64,65,67,71
1976,7,6,19,6,16,18,20,21,46,47,48,50,54,55,59,69,71,72,73,80,83,87,94
1977,11,6,19,1,3,6,8,9,11,18,20,26,31,32,37,49,68,71,75,77,86,87,91
1978,14,6,19,3,8,20,22,28,30,37,38,43,58,68,80,82,84,86,88,89,91,95,98
1979,18,6,19,3,10,26,29,31,36,40,56,58,62,66,68,74,77,79,87,88,92,93,95
1980,21,6,19,0,1,8,9,11,15,16,27,54,58,61,63,67,68,69,78,79,89,93,95
1981,25,6,19,0,5,14,27,30,34,36,40,43,44,55,65,68,76,78,85,88,92,98,99
1982,28,6,19,2,14,26,27,33,35,37,40,45,48,54,55,64,65,66,76,83,87,88,90
1983,2,7,19,4,5,10,12,17,18,19,24,30,34,41,61,66,70,71,73,74,81,95,98
1984,5,7,19,0,8,10,17,24,29,35,39,42,43,55,74,75,78,79,85,86,89,92,94
1985,9,7,19,1,10,12,14,22,26,31,35,37,41,44,48,54,55,56,66,72,78,87,95
1986,12,7,19,8,9,10,38,39,40,43,48,53,54,55,58,67,68,71,74,76,83,89,91
1987,16,7,19,0,3,11,13,18,19,21,31,37,42,43,44,50,53,57,68,69,78,92,98
1988,19,7,19,1,3,5,8,24,51,54,65,71,76,78,82,83,84,86,88,90,91,93,99
1989,23,7,19,2,11,17,20,21,27,31,34,37,38,41,44,45,48,51,53,64,79,88,96
1990,26,7,19,2,3,6,10,12,25,31,35,42,43,50,57,61,66,69,74,75,80,86,88
1991,30,7,19,7,18,22,24,31,35,43,53,56,57,61,63,67,70,77,81,90,91,92,97
1992,2,8,19,5,9,21,44,46,49,58,59,64,65,70,72,73,74,78,90,91,92,95,96
1993,6,8,19,0,6,7,8,12,13,24,30,32,41,48,52,69,73,74,82,83,89,92,94
1994,9,8,19,2,3,4,7,16,21,26,34,37,42,44,50,60,71,85,86,88,90,92,95
1995,13,8,19,7,11,16,28,34,38,44,65,72,73,75,79,80,81,82,91,94,95,98,99
1996,16,8,19,1,11,15,23,28,30,31,40,43,44,51,57,66,68,86,90,93,94,96,99
1997,20,8,19,5,6,9,16,17,22,30,31,36,43,50,55,58,61,68,69,72,80,81,92
1998,23,8,19,3,4,10,16,21,24,29,31,38,39,42,62,64,68,74,76,81,90,91,98
1999,27,8,19,12,15,18,20,26,33,35,39,45,47,54,61,63,64,66,76,77,84,85,91
2000,30,8,19,5,17,20,22,25,28,33,38,39,61,62,65,66,70,73,74,83,87,93,98
2001,3,9,19,1,3,11,17,19,29,31,35,49,50,53,57,63,79,83,87,89,91,95,99
2002,6,9,19,8,31,32,43,53,54,56,57,65,69,76,79,80,82,87,88,91,97,98,99
2003,10,9,19,5,7,16,17,24,25,26,33,36,47,50,53,78,79,81,85,86,87,91,99
2004,13,9,19,14,21,23,28,32,35,37,40,47,48,51,63,69,72,74,84,86,88,91,99
2005,17,9,19,1,9,11,26,30,35,40,42,55,60,63,64,69,71,72,76,83,91,92,96
2006,20,9,19,5,6,8,14,15,16,24,25,26,35,37,44,54,63,64,69,72,74,90,97
2007,24,9,19,0,3,9,10,21,24,33,38,53,60,61,65,77,78,80,81,83,84,95,98
2008,27,9,19,1,11,14,16,18,26,28,29,32,35,41,42,43,45,52,70,78,84,88,96
2009,1,10,19,4,7,10,15,20,21,23,26,33,34,39,40,43,53,66,69,75,79,82,91
2010,4,10,19,5,8,10,20,22,27,33,39,43,48,53,62,68,69,74,79,84,93,98,100
2011,8,10,19,4,17,20,21,28,29,36,38,46,47,49,55,57,59,62,73,79,80,83,91
2012,11,10,19,1,10,12,17,23,28,35,37,40,42,43,50,53,54,66,68,84,92,97,99
2013,15,10,19,1,5,6,10,31,33,35,40,44,54,55,58,64,68,74,75,81,87,88,92
2014,18,10,19,3,9,13,23,29,32,34,40,58,61,63,66,70,72,74,76,77,80,81,99
2015,22,10,19,11,24,26,27,28,32,35,37,42,45,48,52,54,64,65,76,90,92,96,97
2016,25,10,19,2,11,19,25,28,30,37,38,45,56,58,61,74,77,82,85,86,88,99,100
2017,29,10,19,11,23,24,41,43,44,48,56,61,63,65,72,77,80,82,85,86,87,88,93
2018,1,11,19,8,9,11,13,19,31,38,42,45,46,47,49,55,61,68,69,81,82,88,93
2019,5,11,19,4,7,10,11,22,33,50,56,57,58,65,66,67,68,76,83,84,87,88,95
2020,9,11,19,2,16,17,20,24,26,33,34,45,47,52,53,57,59,63,75,90,91,92,99
2021,12,11,19,3,8,9,12,13,18,19,24,41,44,45,47,54,59,65,67,73,75,80,87
2022,16,11,19,2,7,17,27,29,42,57,58,59,62,69,71,72,75,89,90,92,95,97,99
2023,19,11,19,10,11,25,27,29,32,48,49,50,53,54,59,60,63,67,70,75,80,84,100
